[0, 0]:	aakkoset - алфавит
[3078, 3078]:	rauha - мир, покой
[3079, 3079]:	rauhallinen - тихий
[308, 308]:	elokuuta - августа (от elokuu)
[3080, 3080]:	rauhallisen - тихий (от rauhallinen)
[3081, 3081]:	rauhanmarssi - марш мира
[3082, 3082]:	rauhoittua - успокаиваться, утихать
[3083, 3083]:	raukenee - стихать, слабеть, утомляться
[3084, 3084]:	raukka - бедняжка
[3085, 3085]:	rauta - утюг
[3086, 3086]:	rautanen - железа
[3087, 3087]:	rautatie - железная дорога
[3088, 3088]:	rautatieasema - железнодорожный вокзал
[3089, 3089]:	ravintola - ресторан
[309, 309]:	elokuva - фильм, кино
[3090, 3090]:	ravintolavaunu - вагон-ресторан
[3091, 3091]:	ravistaa - взбалтывать, трясти
[3092, 3092]:	rehellinen - честный
[3093, 3093]:	rehtori - ректор
[3094, 3094]:	reipas - бодрый
[3095, 3095]:	reisi - бедро
[3096, 3096]:	reitti - маршрут
[3097, 3097]:	reki - сани, дровни
[3098, 3098]:	rekisteröinti - регистрация
[3099, 3099]:	rengas - колесо
[31, 31]:	aikoa - намереваться, собираться
[310, 310]:	elokuvasali - кинозал
[3100, 3100]:	rengaslinja - кольцевая линия
[3101, 3101]:	rengaslinjalle - на кольцевую линию
[3102, 3102]:	renkaan - колесо,шина
[3103, 3103]:	renkaat - шины
[3104, 3104]:	renkaiden - шин
[3105, 3105]:	rento - расслабленный
[3106, 3106]:	reppu - рюкзак
[3107, 3107]:	resepti - рецепт
[3108, 3108]:	retiisi - редиска
[3109, 3109]:	retkeily - туризм
[311, 311]:	elokuviin - в кино (от elokuva)
[3110, 3110]:	retkeilyä - туризмом
[3111, 3111]:	retki - экскурсия, поход
[3112, 3112]:	revontuli - северное сияние
[3113, 3113]:	riemullinen - радостный
[3114, 3114]:	riippua - зависеть
[3115, 3115]:	riipus - кулон
[3116, 3116]:	riisi - рис
[3117, 3117]:	riista - дичь
[3118, 3118]:	riistasalaattia - салат из дичи
[3119, 3119]:	riisua aseista - разоружать(ся)
[312, 312]:	elossa - в живых (от elo)
[3120, 3120]:	riisuutua - раздеваться
[3121, 3121]:	riisuutukaa - разденьтесь
[3122, 3122]:	riittävä - достаточный
[3123, 3123]:	riittää - хватать, быть достаточным
[3124, 3124]:	rikas - богатый
[3125, 3125]:	rikki - сломаться, разбиться
[3126, 3126]:	rikkoa - ломать, разбивать
[3127, 3127]:	rinta - грудь
[3128, 3128]:	rintakipu - боль в груди
[3129, 3129]:	rintamerkkejä - значки (от rintamerkki)
[313, 313]:	eläin - животное
[3130, 3130]:	rintamerkki - значок
[3131, 3131]:	rintaneula - брошь
[3132, 3132]:	ripsiväri - тушь
[3133, 3133]:	ripuli - расстройство желудка
[3134, 3134]:	ripusta - вешать
[3135, 3135]:	risainen - рваный
[3136, 3136]:	risteilijä - крейсер
[3137, 3137]:	risteily - круиз
[3138, 3138]:	risteys - перекресток
[3139, 3139]:	ristiside - бандероль
[314, 314]:	eläintieteellinen - зоологический
[3140, 3140]:	ristiäiset - крестины
[3141, 3141]:	rivi - ряд
[3142, 3142]:	rivitalo - одноэтажный многоквартирный дом
[3143, 3143]:	rohkaista - поощрять
[3144, 3144]:	rohkea - смелый
[3145, 3145]:	rokottaa - делать прививку
[3146, 3146]:	rokotuttaa - сделать прививку
[3147, 3147]:	romaani - роман
[3148, 3148]:	roska - сор, мусор
[3149, 3149]:	rouva - госпожа
[315, 315]:	eläke - пенсия
[3150, 3150]:	ruhmä - группа
[3151, 3151]:	ruhmänjohtaja - руководитель группы
[3152, 3152]:	ruhtyä - бросать делать что либо
[3153, 3153]:	ruiske - укол
[3154, 3154]:	ruiskeen - укол (от ruiske)
[3155, 3155]:	rulla - фотопленка,катушка
[3156, 3156]:	rullalauta - скейт, доска
[3157, 3157]:	ruma - дурной, плохой
[3158, 3158]:	rumpali - барабанщик
[3159, 3159]:	runo - стихотворение
[316, 316]:	eläkeläinen - пенсионер
[3160, 3160]:	runokokoelma - сборник стихов
[3161, 3161]:	runous - поэзия
[3162, 3162]:	runsas - богатый, обильный
[3163, 3163]:	ruoho - трава
[3164, 3164]:	ruoka - пища, еда
[3165, 3165]:	ruokahalu - аппетит
[3166, 3166]:	ruokailuhuone - столовая
[3167, 3167]:	ruokailuvälineet - столовый прибор
[3168, 3168]:	ruokala - столовая
[3169, 3169]:	ruokalista - меню
[317, 317]:	eläköön - да здравствует (от elää)
[3170, 3170]:	ruokalistan - меню (от ruokalista)
[3171, 3171]:	ruokamyrkytys - пищевое отравление
[3172, 3172]:	ruokatunti - обеденный перерыв
[3173, 3173]:	ruokia - вторые блюда
[3174, 3174]:	ruoto - кость (рыбы)
[3175, 3175]:	ruotsalainen - швед(ка)
[3176, 3176]:	Ruotsi - Швеция
[3177, 3177]:	ruotsi - шведский язык
[3178, 3178]:	rupla - рубль
[3179, 3179]:	ruplaa - рублей (от rupla)
[318, 318]:	elämä - жизнь
[3180, 3180]:	rupliksi - на рубли (от rupla)
[3181, 3181]:	ruskea - коричневый
[3182, 3182]:	ruusu - роза
[3183, 3183]:	ruusut - розы
[3184, 3184]:	ruuvitaltta - отвертка
[3185, 3185]:	ruveta - начинать, начинаться
[3186, 3186]:	ryhtyä - приниматься, начинать
[3187, 3187]:	ryijy - ковер
[3188, 3188]:	ryppy - морщина, складка
[3189, 3189]:	ryppyinen - морщинистый, мятый
[319, 319]:	elämäkerta - биография
[3190, 3190]:	rytmi - ритм
[3191, 3191]:	räjähtää - взрываться
[3192, 3192]:	räkättää - стрекотать, трещать
[3193, 3193]:	räntäsade - мокрый снег
[3194, 3194]:	rästitentti - академическая задолженность
[3195, 3195]:	räsymatto - половик претеный
[3196, 3196]:	räätäli - портной
[3197, 3197]:	saa - можно (от saada)
[3198, 3198]:	saada - получать
[3199, 3199]:	saada+objekti - мочь, добывать, извлекать, получать
[32, 32]:	aikuinen - взрослый
[320, 320]:	elämäkertakirjallisuus - биографическая литература
[3200, 3200]:	saakka - до чего-либо
[3201, 3201]:	saako - можно? (от saada)
[3202, 3202]:	saan - я получу (от saada)
[3203, 3203]:	saanko - разрешите мне? (от saada)
[3204, 3204]:	saapas - сапог
[3205, 3205]:	saappaat - сапоги
[3206, 3206]:	saapua - прибывать
[3207, 3207]:	saapuminen - приезд
[3208, 3208]:	saapuu - прибывает (от saapua)
[3209, 3209]:	saari - остров
[321, 321]:	elämänala - область жизни
[3210, 3210]:	saaste - загрязняющее вещество, загрязнение
[3211, 3211]:	saatan - я провожу (от saattaa)
[3212, 3212]:	saattaa - провожать
[3213, 3213]:	saattakaa - проводите (от saattaa)
[3214, 3214]:	saatte - получаете (от saada)
[3215, 3215]:	saatteko - вы получаете? (от saada)
[3216, 3216]:	saavuttaa - достигать
[3217, 3217]:	saavutus - достижение
[3218, 3218]:	sade - дождь
[3219, 3219]:	sadealue - область распространения дождей
[322, 322]:	elämäniloinen - жизнерадостный
[3220, 3220]:	sadetakin - плащ (от sadetakki)
[3221, 3221]:	sadetakki - плащ, дождевик 
[3222, 3222]:	sadetta - дождь (от sade)
[3223, 3223]:	saha - пила, ножевка
[3224, 3224]:	sahata - пилить
[3225, 3225]:	saippua - мыло
[3226, 3226]:	saippuan - мыло (от saippua)
[3227, 3227]:	sairaala - больница
[3228, 3228]:	sairaalaan - в больницу (от sairaala)
[3229, 3229]:	sairaanhoitaja - медсестра
[323, 323]:	elämänrytmi - ритм жизни
[3230, 3230]:	sairas - больной, нездоровый
[3231, 3231]:	sairasloma - отпуск по болезни
[3232, 3232]:	sairastaa - болеть
[3233, 3233]:	sairaudet - заболевания (от sairaus)
[3234, 3234]:	sairaus - болезнь, заболевание
[3235, 3235]:	sairausaika - время болезни
[3236, 3236]:	sairausajalta - за время болезни (от sairausaika)
[3237, 3237]:	saisi - что бы вы хотели? (от saada)
[3238, 3238]:	saisimmeko - дайте нам (от saada)
[3239, 3239]:	saisinko - можно? (от saada)
[324, 324]:	elämäntarve - жизненная потребность
[3240, 3240]:	sakko - штраф
[3241, 3241]:	sakottaa - штрафовать
[3242, 3242]:	saksalainen - немка, немец
[3243, 3243]:	sakset - ножницы
[3244, 3244]:	salaatti - салат
[3245, 3245]:	salainen - тайный, секретный
[3246, 3246]:	salaisuus - тайна, секрет
[3247, 3247]:	salaperäinen - таинственный
[3248, 3248]:	salata - скрывать
[3249, 3249]:	sali - зал
[325, 325]:	elämäntie - жизненный путь
[3250, 3250]:	sallia - разрешать
[3251, 3251]:	sallikaa - разрешите (от sallia)
[3252, 3252]:	sama - тот же самый
[3253, 3253]:	samaa - того же (от sama)
[3254, 3254]:	samalla - заодно
[3255, 3255]:	samanaikaisesti - одновременно
[3256, 3256]:	samanikäinen - ровесник
[3257, 3257]:	samanikäisiä - ровесники (от samanikдinen)
[3258, 3258]:	samankaltainen - подобный
[3259, 3259]:	samanlainen - одинаковый, такой же
[326, 326]:	elää - жить
[3260, 3260]:	samoin - так же
[3261, 3261]:	sampanja - шампанское
[3262, 3262]:	sampi - осетрина
[3263, 3263]:	sampoo - шампунь
[3264, 3264]:	sana - слово
[3265, 3265]:	sanakirja - словарь
[3266, 3266]:	sananparsi - поговорка
[3267, 3267]:	sanasto - лексика, словарный состав, словарь
[3268, 3268]:	sandaaleja - босоножки (от sandaalit)
[3269, 3269]:	sandaalit - босоножки
[327, 327]:	en käytä - не употребляю (от kдyttää)
[3270, 3270]:	sankari - герой
[3271, 3271]:	sano - слово
[3272, 3272]:	sanoa - сказать, говорить
[3273, 3273]:	sanoa irti - уволить с работы
[3274, 3274]:	sanoisitteko - скажите (от sanoa)
[3275, 3275]:	sanoja - слова (от sana)
[3276, 3276]:	sanokaa - скажите (от sanoa)
[3277, 3277]:	sanoma - известие
[3278, 3278]:	sanomalehti - газета
[3279, 3279]:	sanomalehtikioski - газетный киоск
[328, 328]:	en muista - не помню (от muistaa)
[3280, 3280]:	sarjakuva - рассказ в картинках, комикс
[3281, 3281]:	sata - сто
[3282, 3282]:	sataa - идет дождь
[3283, 3283]:	satama - порт, гавань
[3284, 3284]:	sataman - порта (от satama)
[3285, 3285]:	satamassa - в порту (от satama)
[3286, 3286]:	satanen - сотенная (о деньгах)
[3287, 3287]:	sateenvarjo - зонт
[3288, 3288]:	sattua - происходить, случаться, случиться 
[3289, 3289]:	satu - сказка
[329, 329]:	en tiedä - не знаю (от tietää)
[3290, 3290]:	sauna - сауна
[3291, 3291]:	saviastiat - глиняная посуда
[3292, 3292]:	savipaja - гончарная мастерская
[3293, 3293]:	savu - дым
[3294, 3294]:	savuke - сигарета, курево
[3295, 3295]:	savukkeet - сигареты
[3296, 3296]:	savukkeita - сигарет (от savuke)
[3297, 3297]:	savustaa - коптить
[3298, 3298]:	savuta - дымить
[3299, 3299]:	se - он, этот, тот, это
[33, 33]:	aina - всегда
[330, 330]:	enemmän - больше, более
[3300, 3300]:	seepra - зебра
[3301, 3301]:	seimi - ясли
[3302, 3302]:	seinä - стена
[3303, 3303]:	seinäjuliste - афиша
[3304, 3304]:	seinäkello - настенные часы
[3305, 3305]:	seisoa - стоять
[3306, 3306]:	seisoo - стоит (от seisoa)
[3307, 3307]:	seitsemän - семь
[3308, 3308]:	seitsemänkymmentä - семьдесят
[3309, 3309]:	seitsemäntoista - семнадцать
[331, 331]:	englanti - английский
[3310, 3310]:	seitsemäs - седьмой
[3311, 3311]:	sekoittaa - смешивать
[3312, 3312]:	sekunti - секунда
[3313, 3313]:	selittää - объяснять
[3314, 3314]:	selitys - объяснение
[3315, 3315]:	seljetä - проясняться
[3316, 3316]:	selkeä - ясный
[3317, 3317]:	selkä - спина
[3318, 3318]:	selkäkipu - боль в спине
[3319, 3319]:	selkäranka - позвоночник
[332, 332]:	englantia - по-английски (от eglanti)
[3320, 3320]:	sellainen - такой
[3321, 3321]:	sellaiset - такие (от sellainen)
[3322, 3322]:	selleri - сельдерей
[3323, 3323]:	selostaa - комментировать, докладывать
[3324, 3324]:	selvitä - справиться о чем-либо
[3325, 3325]:	selviytyä - справляться
[3326, 3326]:	selvä - ясный, четкий
[3327, 3327]:	semmoinen - такой
[3328, 3328]:	sepittää - сочинять
[3329, 3329]:	serkku - свекровь, теща
[333, 333]:	enimmäkseen - большей частью
[3330, 3330]:	seteli - купюра, банкнот, ассигнация
[3331, 3331]:	setelin - купюру (от seteli)
[3332, 3332]:	setä - дядя (брат отца)
[3333, 3333]:	seura - общество
[3334, 3334]:	seuraaja - последователь
[3335, 3335]:	seuraava - следующий
[3336, 3336]:	seuraavalla - на следующей (от seuraava)
[3337, 3337]:	seurakunta - прихожане, приход
[3338, 3338]:	seuralainen - спутник
[3339, 3339]:	seurallinen - общительный, компанейский
[334, 334]:	eniten - больше всего
[3340, 3340]:	seuran - общество
[3341, 3341]:	seurata I - следить, наблюдать
[3342, 3342]:	seurata II - следовать за кем-либо, чем-либо
[3343, 3343]:	seurue - сопровождающие лица, свита
[3344, 3344]:	seurustella - общаться
[3345, 3345]:	seurustelukieli - речевой этикет
[3346, 3346]:	seutu - область, край, местность
[3347, 3347]:	shakki - шахматы
[3348, 3348]:	shakkia - шашки
[3349, 3349]:	shakkinappulat ja-lauta - шахматы (фигуры и доска)
[335, 335]:	ennen kaikkea - прежде всего
[3350, 3350]:	shampoo - шампунь
[3351, 3351]:	sianliha - свинина
[3352, 3352]:	sianlihaa - свинины
[3353, 3353]:	side - бинт
[3354, 3354]:	siellä - там
[3355, 3355]:	sielläpäin - там, в той стороне
[3356, 3356]:	sielu - душа
[3357, 3357]:	sieni - гриб
[3358, 3358]:	sienikeitto - суп грибной
[3359, 3359]:	sietää - переносить, выдерживать
[336, 336]:	ennen kuin - прежде чем
[3360, 3360]:	siili - ежик
[3361, 3361]:	siinä - это,вот
[3362, 3362]:	siirtyminen - переход
[3363, 3363]:	siirtyä - переходить
[3364, 3364]:	siirtää - передвигать, перемещать, переносить
[3365, 3365]:	siisti - опрятный, чистый
[3366, 3366]:	siivilöityä - просачиваться
[3367, 3367]:	siivota - убирать
[3368, 3368]:	siivous - уборка
[3369, 3369]:	sija - место, положение, падеж
[337, 337]:	ennustaa - предсказывать, пророчить
[3370, 3370]:	sijaita - находиться
[3371, 3371]:	sijata - постелить
[3372, 3372]:	sika - свинья
[3373, 3373]:	sikaari - сигара
[3374, 3374]:	sikaarin - сигару (от sikaari)
[3375, 3375]:	sikari - сигара
[3376, 3376]:	sikäli mikäli - постольку поскольку
[3377, 3377]:	sikäläinen - тамошний
[3378, 3378]:	silakka - салака
[3379, 3379]:	sileä - гладкий
[338, 338]:	ennättää - успевать
[3380, 3380]:	silkki - шелк
[3381, 3381]:	silli - селедка
[3382, 3382]:	silloin - тогда
[3383, 3383]:	silloin tällöin - время от времени
[3384, 3384]:	silmä - глаз
[3385, 3385]:	silmälasit - очки
[3386, 3386]:	silta - мост
[3387, 3387]:	sinappi - горчица
[3388, 3388]:	sinappia - горчицу (от sinappi)
[3389, 3389]:	sininen - синий
[339, 339]:	ennätyksiä - рекорды
[3390, 3390]:	sinivuokot - перелеска (цв. весной)
[3391, 3391]:	sinne - туда
[3392, 3392]:	sinä - ты
[3393, 3393]:	sipuli - лук
[3394, 3394]:	sirkukseen - в цирк (от sirkus)
[3395, 3395]:	sirkus - цирк
[3396, 3396]:	sisar - сестра
[3397, 3397]:	sisaria - сестры (от sisar)
[3398, 3398]:	sisarukset - сестры (между собой), братья и сестры, брат и сестра
[3399, 3399]:	sisu I - нрав, характер
[34, 34]:	ainakin - по крайней мере
[340, 340]:	ennätys - рекорд
[3400, 3400]:	sisu II - упорство, стойкость
[3401, 3401]:	sisustaa - отделывать, оборудовать, меблировать
[3402, 3402]:	sisustus I - убранство, обстановка
[3403, 3403]:	sisustus II - интерьер, отделка
[3404, 3404]:	sisältö - содержание
[3405, 3405]:	sisämaa - центральные районы страны
[3406, 3406]:	sisäpuhelimella - по внутреннему телефону
[3407, 3407]:	sisäpuhelin - внутренний телефон
[3408, 3408]:	sisäpuolella - внутри
[3409, 3409]:	sisärengas - камера
[341, 341]:	eno - дядя (брат матери)
[3410, 3410]:	sisässä - внутри
[3411, 3411]:	sisään - внутрь
[3412, 3412]:	sisäänpääsy - вход
[3413, 3413]:	siteen - бинт (от side)
[3414, 3414]:	siten - так, таким образом
[3415, 3415]:	sitoa kiinni - привязывать
[3416, 3416]:	sitruuna - лимон
[3417, 3417]:	sitruunan - лимоном (от sitruuna)
[3418, 3418]:	sitruunoita - лимоны (от sitruuna)
[3419, 3419]:	sitten - потом, затем
[342, 342]:	ensi - первый, будущий, следующий
[3420, 3420]:	sitä - этого (от se)
[3421, 3421]:	sivistynyt - образованный
[3422, 3422]:	sohva - диван
[3423, 3423]:	soida - звенеть, звонить
[3424, 3424]:	soikea - овальный
[3425, 3425]:	soitan - я позвоню (от soittaa)
[3426, 3426]:	soitella - 1. звонить, названивать
[3427, 3427]:	soitellaan - созвонимся
[3428, 3428]:	soitin - музыкальный инструмент
[3429, 3429]:	soitinmusiikki - инструментальная музыка
[343, 343]:	ensiksi - во-первых
[3430, 3430]:	soittaa - звонить,играть
[3431, 3431]:	soittamaan - позвонить,сыграть (от soittaa)
[3432, 3432]:	soittimia - музыкальные инструменты (от soitin)
[3433, 3433]:	soittokello - звонок
[3434, 3434]:	sokeri - сахар
[3435, 3435]:	sokeria - сахара
[3436, 3436]:	sokeriastia - сахарница
[3437, 3437]:	sokeritauti - диабет
[3438, 3438]:	soljanka - солянка
[3439, 3439]:	soljet - заколки (от solki)
[344, 344]:	ensimmäinen - первый
[3440, 3440]:	solki - заколка
[3441, 3441]:	solmia - завязывать
[3442, 3442]:	solmio - галстук
[3443, 3443]:	solmion - галстук (от solmio)
[3444, 3444]:	sopia - 1. подходить
[3445, 3445]:	sopii - подходит
[3446, 3446]:	sopimus - договор
[3447, 3447]:	sopiva - подходящий
[3448, 3448]:	sopivaa - быть уместным (olla sopivaa)
[3449, 3449]:	sopivan - подходящий
[345, 345]:	ensimmäisessä - на первом (от ensimmдinen)
[3450, 3450]:	soppa - суп
[3451, 3451]:	sopusointu - гармония, красота
[3452, 3452]:	sormi - палец руки
[3453, 3453]:	sormus - кольцо
[3454, 3454]:	sosekeitto - суп-пюре
[3455, 3455]:	sosiologiaa - социология
[3456, 3456]:	sota - война
[3457, 3457]:	sovittaa - примерять
[3458, 3458]:	stadion - стадион-
[3459, 3459]:	stadioni - стадион--
[346, 346]:	ensimmäistä - первый (от ensimmдinen)
[3460, 3460]:	stadionille - до стадиона (от stadioni)
[3461, 3461]:	stipendi - стипендия
[3462, 3462]:	stressi - стресс
[3463, 3463]:	suhde - отношение
[3464, 3464]:	suhtautua - относиться
[3465, 3465]:	suhteen - по отношению к кому-то
[3466, 3466]:	suihku - душ
[3467, 3467]:	sujua - проходить, спориться, удаваться
[3468, 3468]:	sujuva - непринужденный, свободный
[3469, 3469]:	sukat - чулки, носки
[347, 347]:	ensin - сначала
[3470, 3470]:	sukellusvene - подводная лодка
[3471, 3471]:	sukeltaa - нырять
[3472, 3472]:	sukkahousut - колготки
[3473, 3473]:	suklaa - шоколад
[3474, 3474]:	suklaakonvehteja - шоколадные конфеты (от suklaakonvehti)
[3475, 3475]:	suklaakonvehti - шоколадная конфета
[3476, 3476]:	suklaata - шоколад (от suklaa)
[3477, 3477]:	sukset - лыжи
[3478, 3478]:	sukulainen - родственник
[3479, 3479]:	sukulaisieni - моих родственников (от sukulainen)
[348, 348]:	ensinnäkin - во-первых, сперва
[3480, 3480]:	sukunimeni - моя фамилия (от sukunimi)
[3481, 3481]:	sukunimenne - ваша фамилия (от sukunimi)
[3482, 3482]:	sukunimi - фамилия
[3483, 3483]:	sukupolvi - поколение
[3484, 3484]:	sula - топленый, растопленный
[3485, 3485]:	sulaa - таять
[3486, 3486]:	suljetaan - закрывается (от sulkea)
[3487, 3487]:	sulkapallo - в бадминтон
[3488, 3488]:	sulkapalloa - бадминтон (от sulkapallo)
[3489, 3489]:	sulkea - закрывать
[349, 349]:	entinen - прежний
[3490, 3490]:	sulkeutua - закрываться
[3491, 3491]:	sumu - туман
[3492, 3492]:	sunnuntai - воскресенье
[3493, 3493]:	suo - болото
[3494, 3494]:	suo anteeksi - извини
[3495, 3495]:	suoda - принимать
[3496, 3496]:	suodatin - фильтр
[3497, 3497]:	suodatinsavuke - сигарета с фильтром
[3498, 3498]:	suojata - защищать
[3499, 3499]:	suojatie - переход
[35, 35]:	aine - вещество, предмет
[350, 350]:	entistää - реставрировать
[3500, 3500]:	suojella - охранять, оберегать, защищать
[3501, 3501]:	suojuskansi - капот
[3502, 3502]:	suokaa - примите (от suoda)
[3503, 3503]:	suola - соль
[3504, 3504]:	suolakurkku - соленый огурец
[3505, 3505]:	suolakurkkuja - соленые огурцы (от suolakurkku)
[3506, 3506]:	suomalainen - финн
[3507, 3507]:	suomentaa - переводить на финский язык
[3508, 3508]:	Suomi - Финляндия
[3509, 3509]:	suoni - вена
[351, 351]:	enää - уже, еще
[3510, 3510]:	suora - прямой
[3511, 3511]:	suoraan - прямо
[3512, 3512]:	suoritetaan - осуществляется (от suorittaa)
[3513, 3513]:	suorittaa - осуществлять
[3514, 3514]:	suorittaa tentti - сдавать экзамен
[3515, 3515]:	suositella - рекомендовать
[3516, 3516]:	suosittu - популярный
[3517, 3517]:	suppea - узкий, сокращенный
[3518, 3518]:	surra - горевать
[3519, 3519]:	suru - горе
[352, 352]:	epäilemättä - несомненно
[3520, 3520]:	surullinen - грустно
[3521, 3521]:	susi - волк
[3522, 3522]:	suu - рот
[3523, 3523]:	suudella - целовать
[3524, 3524]:	suukko - поцелуй
[3525, 3525]:	suunne - ваш рот
[3526, 3526]:	suunnistaa - ориентироваться
[3527, 3527]:	suunnitella - планировать
[3528, 3528]:	suunnitelma - план
[3529, 3529]:	suunta - направление, сторона
[353, 353]:	epäillä - сомневаться, подозревать
[3530, 3530]:	suuremman - больше
[3531, 3531]:	suuri - большой
[3532, 3532]:	suurin piirtein - в общих чертах
[3533, 3533]:	suursiivous - генеральная уборка
[3534, 3534]:	suuttua - сердиться
[3535, 3535]:	suuttumus - негодование
[3536, 3536]:	Sveitsi - Швейцария
[3537, 3537]:	sydän - сердце
[3538, 3538]:	sydänkohtaus - сердечный приступ
[3539, 3539]:	sydänvika - порок сердца
[354, 354]:	epäitsekäs - бескорыстный
[3540, 3540]:	syksy - осень
[3541, 3541]:	syntumäpäivä - день рождения
[3542, 3542]:	syntymäpaikka - место рождения
[3543, 3543]:	syntymäpäiville - на день рождения (от syntymдpдivд)
[3544, 3544]:	syntymäpäivänne - с днем рождения (от syntymдpдivд)
[3545, 3545]:	syntyperäinen - прирожденный, истинный, коренной
[3546, 3546]:	syntyä - родиться
[3547, 3547]:	syrjä - край, кромка, сторона
[3548, 3548]:	sytytin - зажигалка
[3549, 3549]:	sytyttää - зажигать
[355, 355]:	epäkohtelias - невежливый
[3550, 3550]:	sytytystulpat - свечи (от sytytystulppa)
[3551, 3551]:	sytytystulppa - свеча
[3552, 3552]:	syvään - глубоко
[3553, 3553]:	syy - причина, повод
[3554, 3554]:	syyskuu - сентябрь
[3555, 3555]:	syyslukukausi - осенний семестр
[3556, 3556]:	syyttää - обвинять
[3557, 3557]:	syödä - есть, поесть
[3558, 3558]:	syömään - есть (от syцdд)
[3559, 3559]:	syöttää - кормить
[356, 356]:	epävarma - неуверенный
[3560, 3560]:	sähke - телеграмма
[3561, 3561]:	sähkeen - телеграмму (от sдhke)
[3562, 3562]:	sähkeessä - в телеграмме (от sдhke)
[3563, 3563]:	sähkö - электричество
[3564, 3564]:	sähköjuna - электропоезд
[3565, 3565]:	sähkövirran - тока (от sдhkцvirta)
[3566, 3566]:	sähkövirta - ток
[3567, 3567]:	säihkyä - сиять, сверкать
[3568, 3568]:	säiliö - резервуар
[3569, 3569]:	säilyttää - хранить
[357, 357]:	erehdys - ошибка
[3570, 3570]:	säilytys - хранение
[3571, 3571]:	säilyä - сохраняться
[3572, 3572]:	säilöntäaine - консервант
[3573, 3573]:	säkki - мешок
[3574, 3574]:	sänky - кровать
[3575, 3575]:	säpsähtää - вздрогнуть
[3576, 3576]:	särkeä - 1. болеть (о части тела)
[3577, 3577]:	sävel - мелодия
[3578, 3578]:	sävellyksiä - произведения (от sдvellys)
[3579, 3579]:	sävelmä - мелодия
[358, 358]:	Eremitaasi - Эрмитаж
[3580, 3580]:	säveltäjä - композитор
[3581, 3581]:	sää - погода
[3582, 3582]:	sääennuste - прогноз погоды
[3583, 3583]:	sääntö - правило
[3584, 3584]:	sääri - нога (от колена до ступни)
[3585, 3585]:	säästänyt - сберег, съекономил
[3586, 3586]:	säästää - сберечь, сэкономить
[3587, 3587]:	säästö - сбережение, экономия
[3588, 3588]:	säätiedotus - прогноз погоды
[3589, 3589]:	säätila - состояние погоды
[359, 359]:	eri - разный, различный, отдельный
[3590, 3590]:	säätäkää - отрегулируйте (от sддtää)
[3591, 3591]:	säätää - регулировать
[3592, 3592]:	taas - опять
[3593, 3593]:	tabletti - таблетка
[3594, 3594]:	tahallaan - нарочно, умышленно
[3595, 3595]:	tahdo - хочу, желаю
[3596, 3596]:	tahra - пятно
[3597, 3597]:	tahto - воля
[3598, 3598]:	tahtoa - хотеть, желать
[3599, 3599]:	tahtoisin - хотел бы
[36, 36]:	aineisto - материал
[360, 360]:	erikoinen - особенный
[3600, 3600]:	tai - или
[3601, 3601]:	taidan - я могу (от taitaa)
[3602, 3602]:	taide - искусство
[3603, 3603]:	taidegalleria - картинная галерея
[3604, 3604]:	taidegalleriaan - в картинную галерею (от taidegalleria)
[3605, 3605]:	taidelasi - художественное стекло
[3606, 3606]:	taidemaalari - художник
[3607, 3607]:	taidemuseo - музей художественный
[3608, 3608]:	taikuri - волшебник
[3609, 3609]:	taipale - путь
[361, 361]:	erikoisala - специальность
[3610, 3610]:	taipua - склоняться, спрягаться
[3611, 3611]:	taipumus - склонность, предрасположенность
[3612, 3612]:	taistella - бороться
[3613, 3613]:	taitaa - 1. мочь
[3614, 3614]:	taito - умение, мастерство
[3615, 3615]:	taitteessa - на рубеже (о времени)
[3616, 3616]:	taival - путь
[3617, 3617]:	taivas - небо 
[3618, 3618]:	tajuta - соображать, понимать
[3619, 3619]:	takaa - из-за
[362, 362]:	erikseen - отдельно
[3620, 3620]:	takaisin - обратно
[3621, 3621]:	takapuoli - зад
[3622, 3622]:	takertua I - застрять, застревать, 2,приставать, пристать, прилипать, прилипнуть
[3623, 3623]:	takka - камин
[3624, 3624]:	taksi - такси
[3625, 3625]:	taksin - такси (от taksi)
[3626, 3626]:	taksipysäkki - стоянка такси
[3627, 3627]:	talkoot - субботник, воскресник
[3628, 3628]:	talletta - делать взнос (деньги)
[3629, 3629]:	talo - дом
[363, 363]:	erilainen - различный
[3630, 3630]:	talutushihna - поводок 
[3631, 3631]:	talvi - зима
[3632, 3632]:	tammea - шашки
[3633, 3633]:	tammi - дуб
[3634, 3634]:	tammikuu - январь
[3635, 3635]:	tammikuuta - января (от tammikuu)
[3636, 3636]:	tanakka - коренастый
[3637, 3637]:	tankata - заправляться
[3638, 3638]:	Tanska - Дания
[3639, 3639]:	tanssia - танцевать
[364, 364]:	erilaisuus - различие
[3640, 3640]:	tapa - обычай, метод
[3641, 3641]:	tapaaminen - встреча
[3642, 3642]:	tapahtuma - событие
[3643, 3643]:	tapaus - случай, событие
[3644, 3644]:	tapella - драться
[3645, 3645]:	tappaa - убивать
[3646, 3646]:	tappelu - драка
[3647, 3647]:	tarakoita - таракан
[3648, 3648]:	tarjoilija - oфициант
[3649, 3649]:	tarjoilijatar - официантка
[365, 365]:	erille - отдельно, врозь
[3650, 3650]:	tarjota - предлагать
[3651, 3651]:	tarjotin - поднос
[3652, 3652]:	tarjottavana - предлагается (от tarjota)
